isbn,author_id
9780439785969,1
9780439785969,2
9780439358071,1
9780439358071,2
9780439554893,1
9780439655484,1
9780439655484,2
9780439682589,1
9780439682589,2
9780976540601,3
9780439827607,1
9780517226957,4
9780345453747,4
9781400052929,4
9780739322208,4
9780739322208,5
9780517149256,4
9780767908184,6
9780767915069,6
9780767910439,6
9780767903868,6
9780767903820,6
9780060920081,6
9780380713806,6
9780380727506,6
9780380715435,6
9780345538376,7
9780618517657,7
9780618346257,7
9780618260584,7
9780618260584,8
9780618391004,9
9780618391004,10
9780618391004,11
9780618510825,12
9780976694007,13
9780976694007,14
9780976694007,15
9780976694007,16
9780976694007,17
9780976694007,18
9780689840920,19
9781557344496,20
9781557344496,21
9781557344496,22
9780385326506,19
9781575606248,23
9781595580276,24
9781595962805,25
9781595962805,26
9781595962805,27
9781595962805,28
9781595962805,29
9781595962805,30
9781595962805,31
9781595962805,32
9781595962805,33
9780670059676,34
9780141312620,35
9780595321803,36
9781590301944,37
9780449146972,38
9780061159176,39
9780060762735,39
9780060762735,40
9780060749910,39
9780273704744,41
9781932386103,42
9780374517199,43
9780374517199,44
9780374280390,43
9780374519742,43
9780374522599,43
9780374518738,43
9780374522872,43
9780374519322,43
9780374516000,43
9780374520656,43
9780822205104,45
9780679734994,45
9781596670235,46
9781581807745,47
9780800793616,48
9780800793616,49
9780871202864,46
9780753454947,50
9780753454947,51
9780753454947,52
9780871209993,46
9781852402877,49
9781852402877,48
9780761129585,53
9780761129585,54
9780761129585,55
9780761129585,56
9780761129585,57
9780972016414,58
9780972016414,59
9781581805635,47
9780441294671,60
9780441102679,60
9780441172696,60
9780765306470,61
9780399128981,60
9780765353702,60
9780765353702,61
9780765353702,62
9780441328000,60
9780618212903,63
9780345410054,64
9780385732543,64
9780785260059,65
9780785260059,66
9780785260059,67
9780471780939,68
9780325001531,69
9780060762872,70
9780470045299,71
9780072262780,72
9780072262780,73
9780764569241,71
9780471933823,74
9780764559914,71
9780764584381,71
9780596523695,75
9780596523695,76
9780806523491,77
9780806525365,77
9780596527310,78
9780143035008,79
9780143035008,80
9780143035008,81
9780451528612,79
9780451528612,82
9780451528612,83
9780140449174,79
9780140449174,80
9780140449174,81
9780140449174,84
9780822001836,85
9780822001836,79
9781593080273,79
9781593080273,86
9781593080273,87
9780486437965,79
9780486437965,88
9780486437965,89
9781593081775,79
9781593081775,87
9781593081775,86
9780778322276,90
9780521313254,91
9780140183955,92
9780140183955,93
9780679767473,94
9781568491981,95
9781568491981,96
9780743270793,97
9780932863058,98
9780932863058,99
9780742508804,100
9780742508804,101
9780742508804,102
9780205358625,103
9781557344038,104
9781557344038,105
9781557344038,106
9780380720446,107
9780380720446,108
9780821925324,109
9780439271691,110
9780606105262,109
9780751506433,111
9780060786717,112
9780743499347,113
9780743499347,114
9780743499347,115
9780765313409,116
9781400032495,117
9781400032495,118
9781400032488,117
9781400032488,119
9781400032464,117
9781400032464,120
9780679732525,117
9780312424442,121
9780806930770,122
9780806930770,123
9780806930770,124
9780140366600,125
9780811201124,126
9780811201124,127
9780802130167,126
9780802131782,126
9780802131782,128
9780802151827,126
9780802151780,126
9780802151803,126
9780811201063,126
9780141439631,129
9780141439631,130
9781593080969,129
9781593080969,131
9781593080969,132
9781571290533,133
9781565842212,133
9781565842212,134
9780394743042,133
9780394743042,135
9781851681822,136
9781851681822,137
9781851681822,138
9781566562492,139
9781566562492,140
9781566562492,136
9780140195538,136
9780140195538,141
9780140195538,142
9780394431246,136
9780394431246,140
9780806501901,136
9780806501901,140
9780806501901,143
9780679439202,136
9780679439202,140
9780753453803,144
9781402714573,144
9781402714573,145
9781416500292,144
9780689854682,144
9780689854682,146
9780689854682,147
9780517221143,144
9780517221143,148
9781577658054,149
9781577658054,150
9781577658054,144
9780933121188,151
9780785950103,152
9780394800844,153
9780821778258,154
9780060733032,155
9788432216060,156
9780345413994,157
9780441788385,157
9780441748600,157
9780345316509,157
9780765314932,157
9780671742515,4
9780345455291,4
9780345476517,158
9780345368430,159
9781417622856,4
9781417622856,160
9780573650963,161
9780573650963,162
9780691122946,163
9780393329407,164
9780671867423,165
9780395883976,166
9780395883976,167
9780684848150,168
9780140156041,168
9780140119480,168
9780679722946,168
9780743244251,168
9780140179170,168
9780679722953,168
9781594201202,169
9780060930219,169
9780060931674,169
9780140283389,169
9780312423209,169
9780312423209,170
9780312423209,171
9780141180632,169
9780143039945,169
9780316724432,169
9780140189308,172
9780140189308,169
9781400043149,173
9780374522216,173
9780679754862,173
9780679752868,173
9780374521721,173
9780679754855,173
9780307264879,173
9780307264879,174
9780374529949,173
9780374529949,175
9780143039839,176
9780143039839,177
9780143039839,178
9780140097313,176
9780140097351,176
9780940650763,176
9780963188922,179
9780963188922,180
9780963188922,181
9780312426231,176
9780140115857,176
9780140154078,176
9780805081459,176
9780140178135,176
9780811214988,176
9782742741465,176
9780143036555,182
9780446579780,183
9780446579780,184
9780521386739,185
9780743203043,186
9780345438713,187
9780393318289,188
9780393318289,189
9780393318289,190
9780393318289,191
9780393318289,192
9781599869940,193
9780806519609,194
9780806519609,195
9780822549208,196
9780932813862,193
9780932813862,197
9780373792689,198
9780373792689,199
9780373792689,200
9780974514055,13
9780974514055,201
9780974514055,202
9780764585975,203
9780764585975,204
